Gene_stable_ID	Gene_name	Gene_description
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	transcription initiation factor TFB%2C putative
PRELSG_12_v1	""	GTP-binding protein%2C putative
PRELSG_08_v1	""	peptidase%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	karyopherin beta%2C putative
PRELSG_12_v1	""	60S ribosomal protein L23%2C putative
PRELSG_03_v1	""	sexual stage-specific protein precursor%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	PMMS2 protein%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	ubiquitin-conjugating enzyme E2%2C putative
PRELSG_04_v1	""	ribosome associated membrane protein RAMP4%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	syntaxin-binding protein%2C putative
PRELSG_11_v1	""	ATP-dependent RNA helicase SUV3%2C putative
PRELSG_01_v1	""	chitinase
PRELSG_09_v1	""	FeS cluster assembly protein Suf%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	ATP synthase subunit O%2C mitochondrial%2C putative
PRELSG_09_v1	""	protein phosphatase PPM2%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	GTP-binding protein%2C putative
PRELSG_07_v1	""	cytochrome c2%2C putative
PRELSG_11_v1	""	thiamine-phosphate synthase%2C putative
PRELSG_14_v1	""	CP-diacylglycerol--inositol 3-phosphatidyltransferase%2C putative
PRELSG_10_v1	""	mitochondrial import inner membrane translocase subunit TM16%2C putative
PRELSG_07_v1	""	NifU-like scaffold protein%2C putative
PRELSG_07_v1	""	M18 aspartyl aminopeptidase%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	40S ribosomal protein S5%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	cysteine-rich secretory protein%2C putative
PRELSG_12_v1	""	major facilitator superfamily domain-containing protein%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	small nucleolar RNA snoR21
PRELSG_14_v1	""	sentrin-specific protease 1%2C putative
PRELSG_00_v1_archived_contig_355	""	fam-h protein
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	large subunit rRNA methyltransferase%2C putative
PRELSG_12_v1	""	ABC transporter B family member 6%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_11	""	surface-associated interspersed protein (SURFN)
PRELSG_10_v1	""	50S ribosomal protein L28%2C apicoplast%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	prefoldin subunit 4%2C putative
PRELSG_08_v1	""	stomatin-like protein
PRELSG_04_v1	""	conserved protein%2C unknown function
PRELSG_10_v1	""	AP-1 complex subunit beta%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	proteasome subunit beta type-5%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	tRNA Valine
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	PTH domain-containing protein%2C putative
PRELSG_04_v1	""	hypothetical protein
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	actin-related protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_364	""	Plasmodium exported protein%2C unknown function
PRELSG_12_v1	""	ATP-dependent RNA helicase BP8%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	G-protein coupled receptor%2C putative
PRELSG_01_v1	""	gamete release protein%2C putative
PRELSG_09_v1	""	vacuolar protein sorting-associated protein 35%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	ER1-like protein%2C putative
PRELSG_08_v1	""	methionine aminopeptidase 1b%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	SECS-binding protein 2%2C putative
PRELSG_05_v1	""	Snf2-related CBP activator%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	NA polymerase 1%2C putative
PRELSG_13_v1	""	succinyl-CoA ligase [AP-forming] subunit beta%2C putative
PRELSG_07_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	histidine--tRNA ligase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	dynein light chain%2C putative
PRELSG_03_v1	""	ribosome biogenesis GTPase A%2C putative
PRELSG_12_v1	""	SNF1-related serine/threonine protein kinase KN%2C putative
PRELSG_13_v1	""	WW domain-binding protein 11%2C putative
PRELSG_14_v1	""	reticulocyte binding protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	MP1-like protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	lipase maturation factor%2C putative
PRELSG_08_v1	""	rho GTPase-activating protein%2C putative
